num,corner,vdd,temp,gbw,pm,av100hz,cmrr100hz,psrr100hz,idd,vos,vocm
0,tt,1.8,25,1.75247E+07,82.0598,44.0038,44.0584,44.8115,-0.00117097,-2.9643E-13,0.88434
1,ss,1.8,25,1.55262E+07,82.1839,44.7528,44.8029,45.5955,-0.000922351,-2.57661E-12,0.862305
2,ff,1.8,25,1.9295E+07,82.04,43.0232,43.0844,43.8106,-0.00143614,1.86962E-13,0.904428
3,sf,1.8,25,1.58146E+07,82.1898,44.7722,44.8222,45.5708,-0.000925088,-2.76446E-14,0.81809
4,fs,1.8,25,1.87311E+07,82.0736,42.4038,42.4694,43.2902,-0.00141534,3.37508E-13,0.947192
5,tt,1.65,-40,1.39568E+07,82.1142,45.6167,45.6621,47.039,-0.000560141,-1.45273E-12,0.791139
6,ss,1.65,-40,1.13009E+07,82.4791,46.0152,46.0586,47.3285,-0.000369492,3.08431E-12,0.769347
7,ff,1.65,-40,1.6396E+07,81.9476,45.036,45.0845,46.5406,-0.00078066,1.667E-12,0.810471
8,sf,1.65,-40,1.14527E+07,82.5577,45.9631,46.0067,47.1587,-0.0003615,2.2804E-13,0.723961
9,fs,1.65,-40,1.58548E+07,81.9762,44.7805,44.8304,46.4571,-0.000778653,5.14588E-13,0.854467
10,tt,1.65,125,1.34154E+07,82.4074,40.7712,40.8503,41.4913,-0.00102128,1.73084E-13,0.866914
11,ss,1.65,125,1.214E+07,82.449,42.5512,42.6157,43.2969,-0.000829013,2.03948E-13,0.844253
12,ff,1.65,125,1.46082E+07,82.4704,38.3203,38.425,39.0214,-0.001225,-3.27627E-13,0.887956
13,sf,1.65,125,1.23794E+07,82.4294,42.9872,43.0485,43.6771,-0.000832614,3.58824E-13,0.800447
14,fs,1.65,125,1.41846E+07,82.6863,36.1165,36.2512,36.9148,-0.00121086,5.4623E-13,0.930835
15,tt,1.95,-40,2.42859E+07,81.9064,44.7272,44.7774,45.4941,-0.00156347,1.63425E-13,0.923737
16,ss,1.95,-40,2.14768E+07,81.9589,45.1711,45.2189,45.9709,-0.00122196,1.88738E-15,0.902319
17,ff,1.95,-40,2.70394E+07,81.8492,44.1785,44.232,44.9346,-0.00192437,-4.38982E-13,0.942674
18,sf,1.95,-40,2.19078E+07,81.9425,45.0833,45.1316,45.8634,-0.00122713,1.56763E-13,0.858038
19,fs,1.95,-40,2.60136E+07,81.8966,43.984,44.0387,44.8466,-0.00188349,8.98059E-13,0.984568
20,tt,1.95,125,1.81785E+07,82.3244,39.9514,40.0383,40.0868,-0.00185854,-2.79554E-13,1.01054
21,ss,1.95,125,1.68278E+07,82.3076,41.4883,41.5612,41.6922,-0.00159431,3.38396E-13,0.986928
22,ff,1.95,125,1.93705E+07,82.4457,37.8937,38.0037,37.9837,-0.00213071,1.21236E-13,1.03236
23,sf,1.95,125,1.71846E+07,82.2527,41.8077,41.8779,42.0116,-0.00161159,-6.35936E-13,0.943556
24,fs,1.95,125,1.88339E+07,82.6196,36.1572,36.2913,36.3011,-0.00209321,8.61533E-14,1.07421
