num,corner,vdd,temp,gbw,pm,av100hz,cmrr100hz,psrr100hz,idd,vos,vocm
0,tt,1.8,25,1.75099E+07,61.3814,88.0437,88.0983,88.8515,-0.00117097,-1.98397E-13,0.88434
1,ss,1.8,25,1.55031E+07,61.3368,89.5229,89.573,90.3656,-0.000922351,-4.9849E-14,0.862305
2,ff,1.8,25,1.94073E+07,61.4431,86.098,86.1591,86.8853,-0.00143614,-2.32148E-13,0.904428
3,sf,1.8,25,1.58012E+07,61.34,89.5622,89.6122,90.3609,-0.000925088,2.45914E-13,0.81809
4,fs,1.8,25,1.88161E+07,61.4729,84.8654,84.9311,85.7518,-0.00141534,3.83138E-13,0.947192
5,tt,1.65,-40,1.38401E+07,61.258,91.2178,91.2632,92.64,-0.000560141,-3.78253E-13,0.791139
6,ss,1.65,-40,1.10568E+07,61.2584,91.9592,92.0026,93.2725,-0.000369492,3.56049E-13,0.769347
7,ff,1.65,-40,1.64464E+07,61.2868,90.0873,90.1358,91.5919,-0.00078066,2.09832E-14,0.810471
8,sf,1.65,-40,1.11636E+07,61.2834,91.859,91.9026,93.0546,-0.0003615,-4.76619E-13,0.723961
9,fs,1.65,-40,1.59812E+07,61.2897,89.5797,89.6297,91.2564,-0.000778653,-5.419E-13,0.854467
10,tt,1.65,125,1.33124E+07,61.5705,81.614,81.6931,82.3341,-0.00102128,5.85532E-13,0.866914
11,ss,1.65,125,1.20101E+07,61.4573,85.1466,85.2111,85.8923,-0.000829013,8.88289E-13,0.844253
12,ff,1.65,125,1.45343E+07,61.7657,76.7432,76.8479,77.4443,-0.001225,1.49658E-13,0.887956
13,sf,1.65,125,1.22537E+07,61.4386,86.0117,86.0731,86.7016,-0.000832614,-3.30957E-13,0.800447
14,fs,1.65,125,1.4115E+07,61.9801,72.3669,72.5017,73.1652,-0.00121086,-1.09102E-12,0.930835
15,tt,1.95,-40,2.45331E+07,61.3457,89.4917,89.542,90.2586,-0.00156347,-3.64153E-14,0.923737
16,ss,1.95,-40,2.15624E+07,61.3082,90.3695,90.4173,91.1693,-0.00122196,-3.67928E-13,0.902319
17,ff,1.95,-40,2.73234E+07,61.3884,88.4024,88.4559,89.1585,-0.00192437,-1.02807E-13,0.942674
18,sf,1.95,-40,2.1954E+07,61.3144,90.1958,90.2441,90.9759,-0.00122713,5.4845E-14,0.858038
19,fs,1.95,-40,2.6363E+07,61.3948,88.0147,88.0694,88.8773,-0.00188349,2.17826E-13,0.984568
20,tt,1.95,125,1.81829E+07,61.669,79.9869,80.0739,80.1224,-0.00185854,-1.95843E-13,1.01054
21,ss,1.95,125,1.68106E+07,61.5542,83.043,83.1159,83.2469,-0.00159431,2.21045E-13,0.986928
22,ff,1.95,125,1.94851E+07,61.8489,75.8964,76.0064,75.9864,-0.00213071,1.40776E-13,1.03236
23,sf,1.95,125,1.71393E+07,61.5347,83.6784,83.7486,83.8824,-0.00161159,-2.58571E-13,0.943556
24,fs,1.95,125,1.89141E+07,62.0222,72.448,72.5821,72.592,-0.00209321,2.38698E-13,1.07421
